"","first.tt","last.tt"
"1",0.56,7.57
"2",9.22,16.72
"3",0.44,6.8
"4",1.65,9.69
"5",0.21,7.96
"6",4.74,12.5
"7",3.72,12.16
"8",4.34,12.55
"9",2.58,10.69
"10",5.27,11.93
"11",6.46,14.23
"12",10.23,17.24
"13",12.23,17.92
"14",6.86,14.53
"15",8.6,16.6
"16",6.14,14.83
"17",4.67,12.61
"18",9.86,16.6
"19",3.57,9.55
"20",6.37,14.79
"21",10.87,18.73
"22",2.2,10.46
"23",10.9,19.29
"24",5.33,12.35
"25",1.51,9.44
"26",4.84,13.12
"27",7.52,15.07
"28",7.18,15.92
"29",0.09,8.41
"30",2.59,10.63
"31",4.52,12.59
"32",10.43,18.59
"33",2.06,10.4
"34",5.95,13.86
"35",5.15,13.03
"36",7.59,16.4
"37",6.03,13.55
"38",9.46,17.36
"39",1.35,9.2
"40",4.8,12.68
"41",3.61,12.01
"42",0.23,8.18
"43",3.01,11.16
"44",12.37,19.82
"45",6.26,14.86
"46",11.31,19.67
"47",7.53,14.9
"48",1.03,8.22
"49",11.23,17.52
"50",3.41,10.98
"51",0.92,7.99
"52",1.62,9.81
"53",2.26,10.82
"54",12.06,20.53
"55",1.23,8.22
"56",9.95,18.52
"57",3.43,11.84
"58",3.93,10.75
"59",8.18,14.34
"60",3.91,12.78
"61",7.62,16.07
"62",8.83,17.28
"63",0.38,6.97
"64",12.1,19.01
"65",7.19,15.72
"66",3.68,12.38
"67",7.96,16.15
"68",2.16,10.29
"69",0.24,8.48
"70",11.21,19.92
"71",2.91,10.98
"72",10.72,19.15
"73",11.13,18.98
"74",6.68,15.21
"75",1.49,7.19
"76",5.68,14.14
"77",3.03,11.65
"78",5.43,13.07
"79",5.54,13.55
"80",6.86,12.42
"81",3.62,12.42
"82",5.95,14.08
"83",3.66,12.09
"84",2.97,11.07
"85",10.15,17.39
"86",11.52,19.47
"87",4.92,12.08
"88",3.99,12.31
"89",5.42,13.2
"90",6.36,11.6
"91",10.72,19.29
"92",6.22,14.82
"93",4.02,12.25
"94",1.11,9.19
"95",4.46,12.99
"96",4.58,12.32
"97",11.96,20.51
"98",0.34,8.91
"99",5.97,14.32
"100",1.79,8.68
"101",10.22,16.2
"102",0.44,8.3
"103",8.94,16.88
"104",9.09,16.83
"105",3.64,11.98
"106",3.34,11.7
"107",12.68,20.94
"108",7.17,15.7
"109",1.22,9.36
"110",4.88,12.54
"111",4.56,13.1
"112",4.11,11.06
"113",6.3,14.96
"114",0.51,8.24
"115",1.44,8.28
"116",15.58,20.66
"117",7.64,15.78
"118",6.23,11.75
"119",3.29,10.23
"120",1.65,8.79
"121",5.85,14.3
"122",4.72,13.13
"123",3.24,11.88
"124",6.95,15.06
"125",4.44,11.62
"126",5.81,13.89
"127",12.35,21.2
"128",3.77,10.66
"129",6.15,14.66
"130",2.11,10.2
"131",6.49,12.59
"132",9.42,14.42
"133",4.98,12.19
"134",8.38,15.73
"135",2.97,8.7
"136",8.34,16.43
"137",3.76,11.92
"138",2.41,10.01
"139",3.95,12.02
"140",1.25,8.85
"141",10.35,17.37
"142",6.06,13.58
"143",4.82,13.44
"144",3.33,11.82
"145",9,17.62
"146",5.74,12.74
"147",4.19,12.13
"148",12.78,20.17
"149",1.21,9.74
"150",1.55,8.53
"151",8.1,15.02
"152",3.35,11.43
"153",12.74,21.45
"154",11.1,17.8
"155",7.59,15.18
"156",8.61,16.57
"157",6.7,12.76
"158",8.04,16.05
"159",9.86,16.86
"160",7.53,16.09
"161",3.22,10.88
"162",8.54,14.43
"163",4.84,12.77
"164",6.03,14.47
"165",8.41,16.96
"166",4.04,12.49
"167",12.53,20.54
"168",2.19,9.63
"169",0.22,7.79
"170",0.15,8.44
"171",4.99,12.98
"172",2.33,9.42
"173",7.62,15.78
"174",4.12,11.75
"175",3.59,11.78
"176",0.5,7.78
"177",4.46,12.51
"178",7.13,15.01
"179",6.12,12.61
"180",5.27,13.22
"181",1.33,9.18
"182",0.27,8.13
"183",0.46,7.8
"184",5.87,14.42
"185",4.42,12.64
"186",3.66,11.85
"187",3.68,10.43
"188",8.95,17.04
"189",8.63,16.76
"190",7.39,15.17
"191",4.45,12.71
"192",4.65,12.21
"193",0.59,7.9
"194",4.83,13.2
"195",8.92,16.36
"196",0.71,7.27
"197",5.36,13.8
"198",1.24,9.03
"199",6.17,14.24
"200",6.6,15.23
"201",3.15,11.73
"202",7.06,15.18
"203",1.17,8.7
"204",8.87,17.07
"205",2.54,9.56
"206",6.38,14.9
"207",12.26,20.41
"208",0.3,8.98
"209",8.41,15.29
"210",9.22,17.17
"211",2,10.29
"212",8.25,16.8
"213",10.29,18.2
"214",12.9,18.51
"215",4.52,13.13
"216",7.47,15.1
"217",9.14,17.63
"218",5.3,13.93
"219",3.63,11.87
"220",11.18,19.92
"221",1.35,8.31
"222",7.97,16.57
"223",6.72,14.82
"224",2.95,11.9
"225",11.56,19.67
"226",7.36,14.81
"227",4.61,12.22
"228",3.1,11.35
"229",6.84,15.14
"230",12.1,19.15
"231",4.8,13.6
"232",5.01,12.94
"233",2.77,11.45
"234",10.06,17.09
"235",7.35,15.61
"236",6.14,14.76
"237",1.66,8.61
"238",7.3,16.08
"239",10.36,17.91
"240",5.56,11.67
"241",7.54,16.24
"242",8.3,15.64
"243",3.45,11.96
"244",7.94,15.52
"245",10.5,18.14
"246",11.83,17.91
"247",5.12,13.5
"248",6.16,14.83
"249",6.03,13.69
"250",3.47,11.4
"251",0.88,8.57
"252",3.53,11.77
"253",0.14,7.25
"254",3.89,11.91
"255",9.75,18
"256",10.75,19.28
"257",7.33,15.66
"258",7.05,14.43
"259",0.98,7.89
"260",4.24,12.31
"261",8.66,17.03
"262",2.09,10.03
"263",4.66,12.59
"264",8.2,16.37
"265",10.99,17.96
"266",9.65,18.24
"267",2.9,11.29
"268",0.95,9.38
"269",2.55,10.84
"270",6.56,14.11
"271",6.19,14.97
"272",10.23,17.23
"273",3.23,10.34
"274",4.26,11.23
"275",6.93,15.48
"276",9.95,18.39
"277",3.58,11.21
"278",9.14,17.57
"279",3.72,11.26
"280",9.47,18.45
"281",3.81,12.19
"282",6.46,14.51
"283",5.84,13.74
"284",5.05,12.65
"285",2.87,11.42
"286",11.63,19.22
"287",2.05,10.28
"288",6.17,14.55
"289",8.14,15.88
"290",10.06,17.72
"291",3.88,12.49
"292",1.54,9.32
"293",6.78,15.43
"294",2.03,9.86
"295",12.18,20.06
"296",7.54,16.22
"297",3.49,11.98
"298",11.56,18.84
"299",12.44,19.35
"300",6.82,15.5
"301",3.88,10.76
"302",2.38,7.44
"303",0.18,7.74
"304",9.73,17.31
"305",11.64,19.75
"306",11.82,18.91
"307",10.79,18.73
"308",12.59,19.74
"309",7.37,14.49
"310",10.18,17.65
"311",2.98,11.01
"312",5.86,12.84
"313",5.89,13.44
"314",8.53,16.97
"315",3.43,11.52
"316",1.67,8.7
"317",1.85,10.3
"318",1.29,9.33
"319",2.52,11.2
"320",11.86,17.99
"321",3.64,12.13
"322",6.36,14.88
"323",11.99,19.87
"324",4.85,12.54
"325",6.72,12.31
"326",11.6,19.55
"327",10.72,19.09
"328",6.36,14.78
"329",1.69,9.48
"330",3.32,10.38
"331",5.23,13.36
"332",2.55,11.37
"333",1.36,9.36
"334",9.6,17.74
"335",12.25,19.74
"336",8.38,16.33
"337",5.97,14.44
