"","first.tt","last.tt"
"1",9.47,18.45
"2",3.48,12.43
"3",2.95,11.9
"4",9.03,17.96
"5",0.82,9.71
"6",10.35,19.24
"7",6.95,15.82
"8",5.33,14.2
"9",3.91,12.78
"10",1.72,10.57
"11",7.47,16.31
"12",2.55,11.37
"13",12.32,21.14
"14",3.62,12.42
"15",4.8,13.6
"16",6.19,14.97
"17",5.88,14.66
"18",1.31,10.09
"19",10.39,19.16
"20",5.3,14.07
"21",6.67,15.42
"22",11.18,19.92
"23",5.56,14.3
"24",11.9,20.64
"25",7.18,15.92
"26",1.81,10.55
"27",5.93,14.67
"28",3.78,12.52
"29",0.49,9.22
"30",2.28,11.01
"31",1.94,10.67
"32",7.35,16.07
"33",4.41,13.13
"34",11.21,19.92
"35",9.77,18.48
"36",7.59,16.3
"37",2.6,11.31
"38",12.74,21.45
"39",3.68,12.38
"40",0.24,8.94
"41",5.34,14.04
"42",7.54,16.24
"43",4.53,13.23
"44",7.76,16.45
"45",6.24,14.93
"46",10.35,19.04
"47",11.69,20.37
"48",11.91,20.59
"49",1.04,9.72
"50",0.3,8.98
"51",2.52,11.2
"52",6.82,15.5
"53",6.73,15.41
"54",2.77,11.45
"55",6.45,15.13
"56",7.3,15.98
"57",2.34,11.02
"58",2.69,11.37
"59",11.9,20.58
"60",8.77,17.44
"61",6.52,15.19
"62",3.67,12.34
"63",11.27,19.93
"64",9.52,18.18
"65",1.69,10.35
"66",6.3,14.96
"67",1.86,10.52
"68",4.96,13.62
"69",7.81,16.46
"70",0.29,8.94
"71",6.78,15.43
"72",11.96,20.6
"73",2.7,11.34
"74",4.18,12.82
"75",3.46,12.1
"76",3.24,11.88
"77",11.63,20.27
"78",6.6,15.23
"79",4.67,13.3
"80",4.49,13.12
"81",5.3,13.93
"82",10.93,19.56
"83",6.16,14.79
"84",11.02,19.64
"85",0.87,9.49
"86",6.14,14.76
"87",9,17.62
"88",0.64,9.26
"89",4.82,13.44
"90",5.07,13.69
"91",0.86,9.47
"92",4.52,13.13
"93",0.49,9.1
"94",6.74,15.35
"95",7.53,16.14
"96",3.76,12.37
"97",3.88,12.49
"98",7.97,16.57
"99",9.07,17.67
"100",6.22,14.82
"101",2.66,11.26
"102",6.26,14.86
"103",7.49,16.09
"104",6.99,15.59
"105",8.31,16.91
"106",7.89,16.49
"107",11.17,19.76
"108",9.58,18.17
"109",3.69,12.28
"110",3.2,11.79
"111",5.8,14.38
"112",8.27,16.85
"113",6.89,15.47
"114",0.18,8.76
"115",7.99,16.57
"116",11.53,20.11
"117",3.99,12.57
"118",3.15,11.73
"119",9.62,18.2
"120",11.13,19.71
"121",11.75,20.33
"122",10.39,18.97
"123",10.39,18.97
"124",8.07,16.65
"125",4.61,13.19
"126",8.91,17.49
"127",9.95,18.52
"128",8.91,17.48
"129",7.04,15.61
"130",4.77,13.34
"131",3.68,12.25
"132",9.98,18.55
"133",10.72,19.29
"134",10.74,19.31
"135",2.26,10.82
"136",6.82,15.38
"137",9.03,17.59
"138",2.01,10.57
"139",7.53,16.09
"140",9.87,18.42
"141",2.87,11.42
"142",6.29,14.84
"143",11.96,20.51
"144",8.41,16.96
"145",0.22,8.77
"146",9.53,18.08
"147",11.88,20.42
"148",0.44,8.98
"149",7.01,15.55
"150",3.67,12.21
"151",9.02,17.56
"152",6.25,14.79
"153",4.56,13.1
"154",1.66,10.2
"155",6.57,15.11
"156",10.75,19.28
"157",0.27,8.8
"158",1.21,9.74
"159",6.02,14.55
"160",7.98,16.51
"161",6.64,15.17
"162",6.86,15.39
"163",7.19,15.72
"164",4.46,12.99
"165",3.03,11.56
"166",5.04,13.57
"167",7.17,15.7
"168",9.33,17.86
"169",0.61,9.13
"170",0.31,8.83
"171",6,14.52
"172",6.38,14.9
"173",6.69,15.21
"174",2.58,11.1
"175",5.61,14.13
"176",8.25,16.77
"177",10.54,19.05
"178",3.45,11.96
"179",0.85,9.36
"180",7.17,15.68
"181",5.76,14.27
"182",6.15,14.66
"183",2.78,11.29
"184",8.71,17.22
"185",12.34,20.84
"186",10.46,18.96
"187",5.61,14.11
"188",6.51,15.01
"189",2.27,10.77
"190",3.75,12.25
"191",5.26,13.76
"192",4.99,13.49
"193",3.69,12.19
"194",4.56,13.06
"195",9.57,18.07
"196",10.24,18.74
"197",10.77,19.26
"198",2.23,10.72
"199",1.1,9.59
"200",5.82,14.31
"201",7.49,15.98
"202",7,15.49
"203",3.33,11.82
"204",3.64,12.13
"205",2.94,11.43
"206",2.67,11.16
"207",9.83,18.32
"208",6.71,15.2
"209",9.14,17.63
"210",8.23,16.72
"211",8.25,16.74
"212",0.44,8.92
"213",5.43,13.91
"214",10.35,18.83
"215",1.3,9.78
"216",12.06,20.53
"217",8.15,16.62
"218",7.52,15.99
"219",8.28,16.75
"220",5.02,13.49
"221",5.25,13.72
"222",3.19,11.66
"223",9.27,17.74
"224",7.69,16.16
"225",8.36,16.83
"226",2.46,10.93
"227",5.4,13.87
"228",5.97,14.44
"229",5.07,13.54
"230",3.62,12.09
"231",10.68,19.14
"232",1.03,9.49
"233",8.59,17.05
"234",11.01,19.47
"235",8.24,16.7
"236",0.36,8.81
"237",0.45,8.9
"238",8.83,17.28
"239",5.85,14.3
"240",8.72,17.17
"241",0.65,9.1
"242",4.04,12.49
"243",0.21,8.66
"244",0.21,8.66
"245",7.54,15.99
"246",7.62,16.07
"247",4.41,12.86
"248",4.08,12.53
"249",9.95,18.39
"250",6.56,15
"251",5.36,13.8
"252",6.3,14.74
"253",6.14,14.58
"254",2.12,10.56
"255",3.17,11.61
"256",8.53,16.97
"257",0.95,9.38
"258",9.37,17.8
"259",0.11,8.54
"260",3.66,12.09
"261",6.95,15.38
"262",2.32,10.75
"263",5.29,13.72
"264",5.8,14.23
"265",7.16,15.59
"266",9.14,17.57
"267",8.63,17.06
"268",6.14,14.56
"269",3.92,12.34
"270",1.06,9.48
"271",3.1,11.52
"272",6.36,14.78
"273",7.94,16.36
"274",6.37,14.79
"275",7.76,16.17
"276",8.62,17.03
"277",1.39,9.8
"278",3.43,11.84
"279",7.33,15.74
"280",11.18,19.59
"281",9.25,17.66
"282",5.99,14.4
"283",5.95,14.36
"284",6.93,15.34
"285",1.92,10.33
"286",10.74,19.15
"287",7.61,16.01
"288",10.56,18.96
"289",8.99,17.39
"290",11.96,20.36
"291",10.21,18.61
"292",10.39,18.78
"293",8.82,17.21
"294",6.72,15.11
"295",8.21,16.6
"296",6.75,15.14
"297",5.62,14.01
"298",4.79,13.18
"299",4.36,12.75
"300",11.11,19.5
"301",9.07,17.46
"302",6.17,14.55
"303",11.64,20.02
"304",7.07,15.45
"305",6.88,15.26
"306",6.36,14.74
"307",7.05,15.43
"308",5.12,13.5
"309",3.05,11.43
"310",2.7,11.08
"311",1.36,9.73
"312",6.63,15
"313",8.02,16.39
"314",5.94,14.31
"315",3.46,11.83
"316",3.44,11.81
"317",10.72,19.09
"318",2.23,10.6
"319",4.83,13.2
"320",5.66,14.03
"321",0.49,8.85
"322",8.75,17.11
"323",6.36,14.72
"324",6.17,14.53
"325",3.81,12.17
"326",11.39,19.75
"327",13,21.35
"328",1.21,9.56
"329",5.97,14.32
"330",5.86,14.21
"331",9.52,17.87
"332",7.33,15.68
"333",6.07,14.42
"334",3.9,12.25
"335",11.23,19.58
"336",5.06,13.4
"337",7.38,15.72
"338",7.17,15.51
"339",4.08,12.42
"340",5.94,14.28
"341",7.27,15.61
"342",2,10.34
"343",3.13,11.47
"344",3.45,11.79
"345",1.35,9.68
"346",7.33,15.66
"347",7.92,16.25
"348",9.03,17.36
"349",2.79,11.12
"350",4.03,12.36
"351",10.37,18.69
"352",8.53,16.85
"353",0.82,9.14
"354",0.42,8.74
"355",0.09,8.41
"356",8.18,16.5
"357",5.85,14.17
"358",6.78,15.1
"359",5.11,13.43
"360",5.52,13.84
"361",5.16,13.48
"362",6.6,14.92
"363",2.55,10.87
"364",5.15,13.47
"365",10.13,18.44
"366",0.86,9.17
"367",0.59,8.9
"368",2.72,11.03
"369",1.13,9.43
"370",2,10.3
"371",4.72,13.02
"372",6.84,15.14
"373",6.84,15.14
"374",5.3,13.6
"375",4.94,13.24
"376",3.03,11.33
"377",2.06,10.36
"378",3.64,11.94
"379",3.89,12.19
"380",3.39,11.69
"381",10.28,18.57
"382",9.37,17.66
"383",0.15,8.44
"384",2,10.29
"385",5.61,13.9
"386",7.35,15.63
"387",1.73,10.01
"388",5.76,14.04
"389",7.16,15.44
"390",10.1,18.38
"391",2.15,10.43
"392",3.67,11.95
"393",4.4,12.68
"394",2.49,10.77
"395",9.96,18.24
"396",1.55,9.82
"397",4.45,12.72
"398",3.84,12.11
"399",1.71,9.97
"400",3.55,11.81
